2020-11-03 11:54:35,246 [INFO    ] 4940 9556 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
2020-11-03 11:54:35,247 [INFO    ] 4940 18172 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() new instance created with frequent_checks_id=1604422475.2472522
2020-11-03 11:54:35,247 [INFO    ] 4940 19188 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._keepalive_streams() new instance created with keepalive_streams_id=1604422475.2472522
2020-11-03 11:54:35,592 [INFO    ] 4940 9556 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_stream({'aggTrade'}, ['btcusdt'], None, False, False) with stream_id=459d520c-5d13-47da-9a63-0b73f4e37eaa
2020-11-03 11:54:35,593 [INFO    ] 4940 9556 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._add_stream_to_stream_list(459d520c-5d13-47da-9a63-0b73f4e37eaa, {'aggTrade'}, ['btcusdt'], None, False, False)
2020-11-03 11:54:35,595 [INFO    ] 4940 18408 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(459d520c-5d13-47da-9a63-0b73f4e37eaa, {'aggTrade'}, ['btcusdt']) socket_id=0a6f6964-9a82-4ef8-9777-2f59a29e290e recent_socket_id=0a6f6964-9a82-4ef8-9777-2f59a29e290e
2020-11-03 11:54:35,596 [INFO    ] 4940 18408 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(459d520c-5d13-47da-9a63-0b73f4e37eaa, {'aggTrade'}, ['btcusdt']) started ...
2020-11-03 11:54:35,596 [INFO    ] 4940 18408 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(459d520c-5d13-47da-9a63-0b73f4e37eaa, ['aggTrade'], ['btcusdt']) started ...
2020-11-03 11:54:35,596 [INFO    ] 4940 18408 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(459d520c-5d13-47da-9a63-0b73f4e37eaa, ['aggTrade'], ['btcusdt']) Payload: [{'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}]
2020-11-03 11:54:35,597 [INFO    ] 4940 18408 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(459d520c-5d13-47da-9a63-0b73f4e37eaa, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:54:35,597 [INFO    ] 4940 18408 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(459d520c-5d13-47da-9a63-0b73f4e37eaa, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:54:35,598 [INFO    ] 4940 18408 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_websocket_uri({'aggTrade'}, ['btcusdt'], , False) - Created websocket URI for stream_id=459d520c-5d13-47da-9a63-0b73f4e37eaa is wss://fstream.binance.com/stream?streams=btcusdt@aggTrade
2020-11-03 11:54:36,490 [INFO    ] 4940 18408 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(459d520c-5d13-47da-9a63-0b73f4e37eaa, {'aggTrade'}, ['btcusdt'] socket_id=0a6f6964-9a82-4ef8-9777-2f59a29e290e recent_socket_id=0a6f6964-9a82-4ef8-9777-2f59a29e290e - Sending payload started ...
2020-11-03 11:54:36,490 [INFO    ] 4940 18408 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(459d520c-5d13-47da-9a63-0b73f4e37eaa, {'aggTrade'}, ['btcusdt'] - Sending payload: {'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}
2020-11-03 11:54:36,827 [INFO    ] 4940 18408 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(459d520c-5d13-47da-9a63-0b73f4e37eaa) - Received result message: {"id":1,"result":null}
2020-11-03 11:54:37,053 [INFO    ] 4940 18172 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 1.19 kB/s at 2020-11-03, 16:54:37 UTC
2020-11-03 11:54:38,259 [INFO    ] 4940 18172 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 2.48 kB/s at 2020-11-03, 16:54:38 UTC
2020-11-03 11:54:55,123 [INFO    ] 4940 18172 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 4.27 kB/s at 2020-11-03, 16:54:55 UTC
2020-11-03 11:54:57,231 [INFO    ] 4940 18172 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 4.72 kB/s at 2020-11-03, 16:54:57 UTC
2020-11-03 11:55:26,699 [INFO    ] 14328 15500 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
2020-11-03 11:55:26,700 [INFO    ] 14328 17360 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() new instance created with frequent_checks_id=1604422526.700672
2020-11-03 11:55:26,701 [INFO    ] 14328 2848 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._keepalive_streams() new instance created with keepalive_streams_id=1604422526.7016768
2020-11-03 11:55:26,930 [INFO    ] 14328 15500 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_stream({'aggTrade'}, ['btcusdt'], None, False, False) with stream_id=d085c3dd-45bc-4cd1-b681-830b8fd1ea5f
2020-11-03 11:55:26,930 [INFO    ] 14328 15500 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._add_stream_to_stream_list(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, {'aggTrade'}, ['btcusdt'], None, False, False)
2020-11-03 11:55:26,933 [INFO    ] 14328 1496 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, {'aggTrade'}, ['btcusdt']) socket_id=0bbbb93f-06b0-4608-b157-6168ee840898 recent_socket_id=0bbbb93f-06b0-4608-b157-6168ee840898
2020-11-03 11:55:26,934 [INFO    ] 14328 1496 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, {'aggTrade'}, ['btcusdt']) started ...
2020-11-03 11:55:26,935 [INFO    ] 14328 1496 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, ['aggTrade'], ['btcusdt']) started ...
2020-11-03 11:55:26,935 [INFO    ] 14328 1496 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, ['aggTrade'], ['btcusdt']) Payload: [{'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}]
2020-11-03 11:55:26,935 [INFO    ] 14328 1496 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:55:26,935 [INFO    ] 14328 1496 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:55:26,936 [INFO    ] 14328 1496 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_websocket_uri({'aggTrade'}, ['btcusdt'], , False) - Created websocket URI for stream_id=d085c3dd-45bc-4cd1-b681-830b8fd1ea5f is wss://fstream.binance.com/stream?streams=btcusdt@aggTrade
2020-11-03 11:55:27,783 [INFO    ] 14328 1496 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, {'aggTrade'}, ['btcusdt'] socket_id=0bbbb93f-06b0-4608-b157-6168ee840898 recent_socket_id=0bbbb93f-06b0-4608-b157-6168ee840898 - Sending payload started ...
2020-11-03 11:55:27,783 [INFO    ] 14328 1496 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f, {'aggTrade'}, ['btcusdt'] - Sending payload: {'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}
2020-11-03 11:55:28,120 [INFO    ] 14328 1496 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(d085c3dd-45bc-4cd1-b681-830b8fd1ea5f) - Received result message: {"id":1,"result":null}
2020-11-03 11:55:29,112 [INFO    ] 14328 17360 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 994 B/s at 2020-11-03, 16:55:29 UTC
2020-11-03 11:55:34,232 [INFO    ] 14328 17360 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 1.58 kB/s at 2020-11-03, 16:55:34 UTC
2020-11-03 11:56:15,188 [INFO    ] 14328 17360 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 2.26 kB/s at 2020-11-03, 16:56:15 UTC
2020-11-03 11:56:24,250 [INFO    ] 4940 18172 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 5.87 kB/s at 2020-11-03, 16:56:24 UTC
2020-11-03 11:57:18,298 [INFO    ] 18980 6692 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
2020-11-03 11:57:18,299 [INFO    ] 18980 3720 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() new instance created with frequent_checks_id=1604422638.2998748
2020-11-03 11:57:18,300 [INFO    ] 18980 19440 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._keepalive_streams() new instance created with keepalive_streams_id=1604422638.300875
2020-11-03 11:57:18,570 [INFO    ] 18980 6692 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_stream({'aggTrade'}, ['btcusdt'], None, False, False) with stream_id=7ed58dea-607a-4ed8-bf9d-ca5c3c31183f
2020-11-03 11:57:18,571 [INFO    ] 18980 6692 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._add_stream_to_stream_list(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, {'aggTrade'}, ['btcusdt'], None, False, False)
2020-11-03 11:57:18,574 [INFO    ] 18980 18988 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, {'aggTrade'}, ['btcusdt']) socket_id=3ea88a47-d11f-466e-9c2e-6cac9b13334a recent_socket_id=3ea88a47-d11f-466e-9c2e-6cac9b13334a
2020-11-03 11:57:18,574 [INFO    ] 18980 18988 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, {'aggTrade'}, ['btcusdt']) started ...
2020-11-03 11:57:18,575 [INFO    ] 18980 18988 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, ['aggTrade'], ['btcusdt']) started ...
2020-11-03 11:57:18,575 [INFO    ] 18980 18988 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, ['aggTrade'], ['btcusdt']) Payload: [{'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}]
2020-11-03 11:57:18,576 [INFO    ] 18980 18988 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:57:18,576 [INFO    ] 18980 18988 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:57:18,576 [INFO    ] 18980 18988 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_websocket_uri({'aggTrade'}, ['btcusdt'], , False) - Created websocket URI for stream_id=7ed58dea-607a-4ed8-bf9d-ca5c3c31183f is wss://fstream.binance.com/stream?streams=btcusdt@aggTrade
2020-11-03 11:57:19,414 [INFO    ] 18980 18988 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, {'aggTrade'}, ['btcusdt'] socket_id=3ea88a47-d11f-466e-9c2e-6cac9b13334a recent_socket_id=3ea88a47-d11f-466e-9c2e-6cac9b13334a - Sending payload started ...
2020-11-03 11:57:19,414 [INFO    ] 18980 18988 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f, {'aggTrade'}, ['btcusdt'] - Sending payload: {'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}
2020-11-03 11:57:19,751 [INFO    ] 18980 18988 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(7ed58dea-607a-4ed8-bf9d-ca5c3c31183f) - Received result message: {"id":1,"result":null}
2020-11-03 11:57:20,105 [INFO    ] 18980 3720 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 71 B/s at 2020-11-03, 16:57:20 UTC
2020-11-03 11:57:21,009 [INFO    ] 18980 3720 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 230 B/s at 2020-11-03, 16:57:21 UTC
2020-11-03 11:57:22,213 [INFO    ] 18980 3720 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 2.02 kB/s at 2020-11-03, 16:57:22 UTC
2020-11-03 11:57:52,036 [INFO    ] 18980 3720 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 6.09 kB/s at 2020-11-03, 16:57:52 UTC
2020-11-03 11:58:37,588 [INFO    ] 12284 17032 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
2020-11-03 11:58:37,589 [INFO    ] 12284 13332 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() new instance created with frequent_checks_id=1604422717.5895631
2020-11-03 11:58:37,589 [INFO    ] 12284 8832 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._keepalive_streams() new instance created with keepalive_streams_id=1604422717.5895631
2020-11-03 11:58:37,885 [INFO    ] 12284 17032 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_stream({'aggTrade'}, ['btcusdt'], None, False, False) with stream_id=ecc8eac2-54c9-45db-8bfd-d78324722544
2020-11-03 11:58:37,886 [INFO    ] 12284 17032 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._add_stream_to_stream_list(ecc8eac2-54c9-45db-8bfd-d78324722544, {'aggTrade'}, ['btcusdt'], None, False, False)
2020-11-03 11:58:37,889 [INFO    ] 12284 16304 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(ecc8eac2-54c9-45db-8bfd-d78324722544, {'aggTrade'}, ['btcusdt']) socket_id=f295c917-4c32-46bc-8ca1-599c42906ed2 recent_socket_id=f295c917-4c32-46bc-8ca1-599c42906ed2
2020-11-03 11:58:37,889 [INFO    ] 12284 16304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(ecc8eac2-54c9-45db-8bfd-d78324722544, {'aggTrade'}, ['btcusdt']) started ...
2020-11-03 11:58:37,891 [INFO    ] 12284 16304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(ecc8eac2-54c9-45db-8bfd-d78324722544, ['aggTrade'], ['btcusdt']) started ...
2020-11-03 11:58:37,891 [INFO    ] 12284 16304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(ecc8eac2-54c9-45db-8bfd-d78324722544, ['aggTrade'], ['btcusdt']) Payload: [{'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}]
